,sentence,rating
170,"The CFTC as rewritten the principles of international cooperation with this guidance, insisting that it alone can, and should, manage the global swaps markets.",1
704,The SEC does not regulate monetary institutions.,1
577,"You are going to find out what we owe, what we are going to owe; what we have promised  is greater than the current wealth of the entire world--every asset in the world.",1
834,"That is very simply without all of the rationalization, without all of the gotchas and the what-ifs and the avoiding of the subject, and if we just ask ourselves one basic question: Does abortion kill a little baby?",1
828,Every President in modern history has taken voluntary steps to ensure his financial interests do not conflict with the needs of the American people.,1
1011,"For that very reason, I urge everyone to support my amendment to allow the FMCSA to finish its important work of examining and developing a rule that is critical to preventing devastating trucking accidents and keeping our highways safe and secure for everyone.",1
176,"The FBI has already indicated to us that it strongly opposes this bill because, in its words, ""this proposal risks undermining criminal investigations by reducing the willingness of individuals to cooperate with law enforcement and would result in the creation of recordings of law enforcement conversations that could jeopardize sensitive and important criminal and counterterrorism investigations.''",1
657,"Whether the gentleman from Maryland wants to recognize it or not, we have divided government.",2
101,"The SEC's mission is to protect investors, preserve efficient markets, and facilitate capital formation.",1
513,"And why is it okay that Americans' home equity has dropped 35 percent during 2007-2009, thereby affecting the very income wealth that the majority of middle class Americans did have, and yet not help to lift our economy by raising the minimum wage?",1
523,"And so, really, tonight's discussion about making life work is: what we're doing to create a fair system that looks out for everyone and that looks out for people who are making minimum wage so that they won't be making minimum wage for long.",1
340,They talked very loudly when the other side of the aisle forced this on America in the last Congress.,1
584,"Yesterday, Chairman Paul Ryan held a hearing on poverty--a timely and necessary discussion.",1
599,"Mr. Speaker, the Enhancing Detection of Human Trafficking Act supports current efforts to combat human trafficking by providing the Department of Labor the tools and resources it needs to identify and properly respond to human rights abuses.",1
26,"From day one, Tom has been one of my best friends here, and I don't think there has ever been a day that we have been in Congress that I haven't spoke to Tom.",1
808,"Because of the Affordable Care Act, the uninsured rate in Texas has fallen by 28 percent and still has the largest number of uninsured Americans, allowing 1.7 million Texans to gain coverage.",2
685,"As the chairman indicated, the intent of the bill is simple: if you're a Federal employee or applicant, you should be making a good faith effort to pay your taxes or to dispute them, as the taxpayers have a right to do.",1
129,Drug traffickers simply avoid any discussion of the destination of the drug shipments.,1
372,We have spoke about troops.,4
715,I would like to thank him and recognize him for his leadership on this issue.,1
284,What you don't know about a treatable condition that can harm you--possibly kill you--what you don't know about it can hurt you.,1
504,"We achieved budget surpluses as the result of a concerted, bipartisan effort to balance the budget through a comprehensive approach.",1
20,"Tonight, in light of the horrific terrorist attack in Paris and the escalating violence in Israel, as we stand to express our solidarity with our friends and allies affected by violent and extreme acts of terror, we must also be thinking about what we, as Americans, can do to defeat--not contain, but eliminate radical jihadists and terrorists who are hell-bent on undermining the U.S., our allies, and our way of life.",1
499,"For these reasons, I must oppose the amendment. Although, I would say to the gentleman that, if he would like to withdraw the amendment, as we move to conference with the Senate, I would be happy to undertake his concerns and see if there was some other way to work to incorporate them into the bill that we ultimately send to the President's desk.",2
960,"This is due to a number of reasons, and this bill seeks to break down many of those purely bureaucratic barriers.",1
514," I rise today to honor Officer Gregg Benner of the Rio Rancho Police Department, who was killed in the line of duty on March 25.",1
866,The people of the Northern Mariana Islands know the fear when a typhoon strikes.,1
765,"The land is the county's, no exchange of gain whatsoever.",2
692,"Courtney was not only a victim of attack, but a victim of repeated backlash from superiors and colleagues.",1
293,"The ""Back to Work Budget"" would maintain our commitment to seniors by making no cuts to Medicare, Medicaid, or Social Security, while reducing health care costs by negotiating drug prices, increasing competition in the health care marketplace, and reducing fraud.",1
884,Why do people want to subsidize our illegal population?,1
69,"It's a path to wealth, and I urge my colleagues to support it.",1
762,"Additionally, this bill will create a partisan commission, with twice as many Republican Members as Democrats, to review the Federal Reserve monetary policy and make changes to its current vital role in determining that policy.",1
542,I am happy to present this piece of legislation as part of a comprehensive response to the Gold King spill and am happy that it comes less than 1 year from the anniversary of that disaster.,1
579,"Helium can be used in the missile technology utilized by Iran, Syria, and North Korea, putting millions of lives at risk in the Middle East, on the Korean Peninsula, and potentially around the world.",1
103,"It's been interesting to see how, literally every denomination, every faith group, has come together and said that we must have comprehensive immigration reform because of the values that they have, as religious people and religious groups, but also, more importantly, the religious values that we share as Americans.",1
25,"That shutdown lasted 16 days, cost the economy $24 billion, and inflicted untold harm on federal employees and the people they serve.",1
710,We must continue to preserve the American Dream for all.,1
139,I am so deeply troubled that H.R. 1009 gives the Trump administration a say in the Federal Reserve's monetary policy decisions.,1
812,"I pray that we all take his message to heart and never forget that, no matter what distance lies between us or what walls may divide us, we are all a part of the family of God.",1
386,"The residents and leadership of College Station work hard to make their city one of the best places in Texas to work, live, and preserve an enjoyable and fulfilling life.",1
759,I am also proud to represent and support Representative Linda Sanchez' House resolution to acknowledge June as Hispanic Heritage Month.,1
303,This provision would ensure that any traveler that is determined to be possibly dangerous undergoes security screening on U.S. soil before being allowed to board a domestic flight.,1
89,It is with great sadness that I stand here today to remark on the Supreme Court's terrible decision to roll back one of the most effective safeguards to Americans' basic right to vote.,1
719,"Mr. Speaker, H.R. 115 is extremely deadly because it will undoubtedly contribute to the continuation of well-documented and pervasive racial disparities in the imposition of the death penalty.",1
546,"I  met and was with some moderate Muslims in Nigeria who understand how appalling and outrageous this activity is, but it is time moderate Muslims around the world actually stood up to the radical Islam that is doing so much damage in this world and is purveying so much evil.",1
520,"As a single working mother and a person who cared for my elderly and aging parents, I and my New York colleagues fought an uphill battle to include provisions facing elimination that are vital to seniors, single parents, struggling families, and overburdened job creators, many of whom have left New York State in vast numbers.",1
355,"What it's going to mean is young people--the very ones that we wanted to have health care--the CBO just came out and said 7 million of them now have no health insurance at all because they're either unemployed, underemployed, don't live with mother and dad, are not poor enough for Medicaid, not old enough for Medicare, and what in the world are they going to do?",3
112,It is the role of Congress and our lack of fulfilling our constitutional responsibility.,1
852,"This American success story employs more than 400,000 employees, pays salaries 40 percent higher than the average national wage, is one of our country's few industries that actually exports more than it imports; and it is an industry that is fueled by innovation and is made up of mostly small businesses.",1
83,We've focused on the home heating season because this is when we can make behavioral changes to improve our air quality.,1
74,"It really raises an interesting question, and I haven't seen this in the President's fiat, the royal decree that he made. I haven't seen if he is providing amnesty for every employer that hires someone who is here illegally because the President is saying, basically, ""I'm giving you amnesty, so you can go work wherever you want to,'' but as the law makes clear in section 1324 of volume 8 of the United States Code, it is criminal to hire someone that is illegally in the country.",1
191,"If it is within my power, if at any time Lois Lerner comes forward to answer our questions, I am fully prepared to hear what she has to say, and at that point I would certainly ask that the criminal prosecution be dropped.",1
362,"American Trucking Associations, Inc., in regard to possibly considering cost when setting ambient air quality standards to protect public health, he said: The cost factor is both so indirectly related to public health and so full of potential for canceling the conclusions drawn from direct health effects, that it would have been expressly mentioned in sections 108 and 109 had Congress meant it to be considered.",1
642,"Last night in the Rules Committee, I offered an amendment to strike a measure from page 1,599 of this 1,603-page spending bill that would have this Congress march hand in hand with the Supreme Court's Citizens United and McCutchen to allow America's wealthiest donors to contribute $5 million every election cycle to candidates, political parties, and their committees.",1
379,"I talked about the $200,00 for this one homeowner, not including the other businessowners and others that are affected by this disaster.",4
237,"Together, we can strive to finish domestic violence abuse in our communities.",1
420,"My final point, if I can, we are glad to come to the floor and honor Mr. Conyers for this important bill and support H.R. 372.",2
638,Dr. Schwartz had a considerable impact on how academics and others think about monetary policy.,1
1029,"Our fight with ISIS isn't going away any time soon, which is why it is high time Congress fulfills its constitutional responsibility and debates our role in the Middle East.",1
321,"Our Defense labs also contribute to American economic growth by spurring the creation of new industries, companies, and jobs across the country, guaranteeing that America leads the way in cutting-edge science and technology.",1
818,"I am glad you focused on that term ""insurance'' and the fact that these are individuals who have paid into the program, as they have been gainfully employed for some time.",1
119,"Right now, many for-profit colleges are engaged in the same sorts of predatory lending schemes that we saw in the housing market.",1
132,"The result: Any company offering such benefits will finish up with a lot of customers requiring expensive hospitalizations, while its competitors that drop them will get healthier customers who are cheaper to insure.",2
659,"It is also important to note that participation in this day is purely voluntary by these businesses, with no monetary solicitation or donations before, during, or after the  event.",1
275,"So these are the kinds of things that we are fighting against here, Mr. Speaker.",1
231,"So if you can contribute $50 to a campaign, then you get a tax credit of $50, which means money back on your income tax return; the same amount that you contribute, you get back.",1
217,"But a cyber attack could bring down our power grid, could bring down our stock market, our financial institutions, our energy sector.",1
867,"First of all, I would like to recognize the fallen Navy SEAL officer in Yemen and offer my concern to his family.",1
366,"All we're saying, Mr. Speaker, is that since Russia is already going to be a member, as of August 22, of the World Trade Organization, we want to make sure that U.S. workers and U.S. businesses will have the opportunity to have access to the 140 million consumers in Russia.",1
885,"Of course, that meant so much to the mom of Olivia.",1
773,This legislation would limit the kinds of scientific data EPA can use as it develops policy to protect the American public from environmental exposures and permit violation of patient confidentiality.,1
717,This is a massive shift of wealth from hardworking Americans to people at the very top.,1
212,"I don't think that they envisioned that innocent children, babies, would be assassinated, if you will, by someone who had one of these assault weapons.",1
916,"You convert to Islam, or you have to abandon everything you know and get as far away from us as you potentially can in the short term because we are coming after you in the long term.",1
10,"And in the midst of it, he announced, “I mean Osama Bin Laden.''",1
292,"We anticipate appointments to the Supreme Court that will honor life and acknowledge, also, as our Founding Fathers did when they drafted the Declaration of Independence, that we have a right to life, to liberty, and the pursuit of happiness.",1
543,We have seen the Trump administration planning a full scale assault on the most marginalized community in our society.,1
434,"Let there be no doubt that the Department of the Interior can do a better job of both hiring and contracting in these areas, but this debate today isn't the most appropriate place for us to consider these particular changes.",1
11,"I thought it was outrageous then, and the intervening years since then have done nothing to change my opinion.",1
990,"When I ask foster youth what policymakers could do to make child welfare better, they almost always say: You could have helped my mom and dad.",1
968,"Mr. Chairman, there are three principal changes that this amendment makes to current law: One is it states that new functions that the Department of Defense enters into, as far as having contract requirements, can be done by the private sector.",1
631,"We have talked about criminal justice reform, economics, unemployment, underemployment, incarceration, voting rights, felon disenfranchisement, and health disparities, and those are just a few of the issues that we have tackled this year.",1
501,"All of that outrageous red tape places a huge burden on small and medium-sized businesses that create jobs in New Jersey, the State I represent, and across the Nation.",1
302,"That is important, but it is also important to build on the good work we have already done with the National Science Foundation--to really provide that equipment, those tools, those mentors, the training, and to take those lab discoveries--the fundamental R&D--and commercialize it.",1
67,With leadership comes duty.,1
308,"I am not sure I would have supported past farm bills, to tell you the truth, that were passed before I came here. But I support this one because the reforms we have brought to the agriculture side and the nutrition side are very good.",1
540,We hear the concerns of so many families who have monetary instability and uncertainty.,1
1020,"This asks: Have you conducted or will you conduct rallies or exhibitions for or against any public policies, legislation, public officers, political candidates, or like types?",1
593,"Our amendment is a modest, bipartisan proposal that reins in the most excessive government salaries by revising the cap to a set level of $230,700--or the salary of the Vice President of the United States.",1
388,"I am proud, as Mr.Clay announced, to be an original cosponsor of the bill.",1
920,The Working Families Flexibility Act will allow small businesses to offer their employees a new benefit.,1
563,Women no longer have to share the cost of critical and possibly lifesaving preventive services such as mammograms and colonoscopies.,1
35,"This legislation is about making sure that the rising worker, whether they are brand-new in the marketplace, or whether they are an entrepreneur, or a mother or a father out in the marketplace looking for a job, will find the ability to be successful.",1
188,This bipartisan legislation would restore the traditional 40-hour work week and help employers and employees.,1
994,"This would allow large regional megabanks to escape fundamental rules related to capital, liquidity, and leverage established after the crisis.",1
423,"Mr. Speaker, there has been a lot of discussion lately about the opioid crisis, but we forget that it is linked to so many other issues--mental health access, poverty, communicable disease, joblessness, and the list goes on.",1
381,I hope our colleagues in the Senate will take a careful look at it and make substantial changes before considering it further.,1
365,"Those are the changes we made as Democrats here, while the Democrats were in charge of the Chamber in 2007, 2008, 2009, and 2010, and those are the investments we made.",1
676,"I rise today to acknowledge Baylor Regional Medical Center at Plano on their latest accolade--the 2013 Malcolm Baldrige National Quality Award, which is the Nation's highest Presidential honor for performance excellence through innovative practices and visionary leadership.",1
270,"In fact, he is interested, because I know him and know him well, in doing the things which are under the charge that we at the Rules Committee and that this House today, I believe, will contribute him, that he will well and faithfully discharge those duties that have been given to him as the chairman of this select committee.",1
438,"This not only puts businesses in serious and unnecessary risk but also workers, who may lose their jobs as well as their health care.",1
6,I believe that supporting this legislation is a proper gesture that we can make here in this House and I am happy to support it.,1
409,He turned his wealth--or his financial reward--into great wealth.,1
702,"That council brings about 17 agencies of government together to plan and to look at the impact of their programs, policies, initiatives that  help, and to really plan how we can create an environment in our communities and in our country that supports wellness and supports prevention and supports good health, so that people can walk in their  neighborhoods, so that they could have fresh fruit and vegetables in their neighborhoods and other things like that so we can deal with the  obesity problem, so we can deal with smoking cessation, and all the things that contribute to poor health and really increase the costs.",1
820,"Mr. Speaker, I will insert into the Record a letter dated January 30 from the American Action Forum, which is an organization run by former CBO Director Douglas Holtz-Eakin--and I won't go into detail--but he basically wrote to express his comprehensive support of H.R. 3581, the Budget and Accounting Transparency Act of 2014, for the very reasons that we have set forth here already.",1
847,"Mr. Speaker, I rise to commend the mayor of the city of Chicago for initiation of a new set of policies designed to help facilitate the reentry of individuals with criminal records back into normal and productive life.",1
9,Surely Congress will answer.,1
881,"I thank the gentlewoman for yielding, and I also want to lend my voice to hers as I stand here before you to say that I was happy to vote for the legislation addressing opioid addiction today; sad that Republicans didn't support Democratic  initiatives, but overall happy with the work that has been done on this  this week.",1
963,President Obama indicated one of the largest extraconstitutional power grabs ever by a Chief Executive.,1
782,This effort by Speaker Ryan and the Republican leadership to halt a fair and open debate in the people's House is excessive.,1
989,"Finally, I believe the majority's effort to institute new whistleblower provisions would be overturned for the same reason that the U.S. Attorney General's Office said it would not defend an unconstitutional section of the Choice Act: it violates the  Appointments clause in the Constitution by allowing lower-level workers to have the final decisionmaking authority to decide whether an employee will be fired.",1
471,"Instead of a land buy, we must finish the Comprehensive Everglades Restoration Plan.",1
105,I'm glad that we're going to have consensus on that today.,1
905,"Under current law, Federal employees can use official, taxpayer-funded time to perform union functions or to participate in union activities when they would otherwise be on official responsibility status.",1
181,What the gentleman from Arizona failed to recognize is that the system simply doesn't work--missing its target more than half the time.,1
460,"I always say: ""Show me your values, show me your budget.""",1
522,I announced that Vermont and Wyoming were States we exceeded in population.,2
875,"When these mothers start delivering those babies  and when we have all kinds of problems, it is not going to be a pleasant experience; so we need to do everything we can.",1
190,Is even the most cursory review of illegal immigrants to determine whether they are dangerous to Americans too much for these attorneys?,4
84,"The courts already possess and exercise their powers of remittitur to set aside outrageous jury verdicts, and that is the appropriate solution rather than an arbitrary cap.",1
230,The exempt Americans are a combination of criminal immigrants and those with incomes too low to pay income tax.,1
597,The sole mission of the Principal Director of the Office of Detainee Policy is to finish detainee operations at Guantanamo Bay.,1
397,"If you want to propose something for the victims, you contribute them an opportunity to testify on the record--and they all opposed the bill to a one.",1
282,"I am, again, very glad to have been working closely with him on this legislation in a bipartisan fashion.",1
519,And it obviously was a possibly more dangerous enemy if it had weapons of mass destruction that could have been shared with jihadists.,1
678,"The agreement gradually removes the key walls that prevent Iran from obtaining nuclear weapons capabilities, from growing its economic influence in the Middle East, and from continuing its state funding of terrorist organizations that threaten the security of the country and the well-being of our allies.",1
570,I think that you have identified a subject matter that is important for discussion before the American people as a result of this argument that we have heard related to the need to pass unemployment benefits only if a pay-for or an offset or a host of programs on the GOP wish list is passed simultaneously to our trying to provide some measure of relief to unemployed Americans.,1
238,"Such widespread support sends a strong message to America's manufacturers, businesses, and workers that Democrats are united in preserving an institution that for decades has helped this Nation create jobs and grow the economy. And, it makes clear that if those supportive Republicans were to join us, this Congress could pass an extension of the Export-Import Bank's charter today.",1
899,"With this legislation, we give money to solving some of our national debt.",1
480,You're in safe hands when you give your family's wealth over to this financial institution.,1
346,"While the funding mechanisms are not perfect, we are moving in the right direction and putting our Nation back on the path to wealth.",1
286,These statutory reforms are important.,1
751,"Although this bill went through regular order and enjoyed lively and meaningful conversation at the subcommittee and full committee levels, some misperceptions remain.",1
453,"While we will continue to preserve our frontline priorities as best we can, no amount of planning can mitigate the negative effects of sequestration.",1
1016,"To give you an example, after Irma, Roy Schneider Medical Center, the only hospital on the island of St. Thomas, was partially destroyed, its roof ripped off, its barriers caved in, windows blown out.",1
337,"To encourage former VA employees who left VA service to profit relevant education or experience and then return to the VA, the bill would allow the VA to noncompetitively reappoint a former employee to a position not more than one grade higher than their former position.",1
953,"It cuts funding for the Pell Grant program, as Representative Cicilline said, the core  program, the core student monetary aid program that came about as a result of the leadership of Senator Pell.",1
547,"I am very pleased that the authors of this resolution adopted the principles of our bipartisan legislation introduced earlier this year with Mr. Steve Chabot, and like the Crimea Annexation Non-recognition Act, which is H. Res. 726, formally and utterly rejects Russian sovereignty over Crimea and calls on our allies to do the same.",1
1030,It is our ability to produce the technology that America needs in order to make our people competitive and to produce the prosperity that is necessary for a decent standard of living that has made America the great country that it is.,1
472,"My father studied theology at Morris in the early 1940s for 3 years, but was not allowed to finish his studies because he had not graduated high school.",1
428,"Mr. Chairman, nothing is more important to the future of this Nation than the success of our children, and right now federal education law isn't helping students profit the skills and knowledge they need.",1
946,"So, if there are specific concerns that you have about the Federal management in this region, I believe the sponsor should work with the authorizing committee to make sure that they are addressed and not use the appropriations process to wall off a section of the country from partnering with the Federal Government to preserve its historical and cultural natural resources.",1
743,I yield to the gentleman from Texas for the answer.,1
769,"Now, I know you don't care about 4,000 Federal workers, that's fine.",1
36,"Again, for the mother who's sitting at that kitchen table.",1
343,"So,Tom Osborne then got up and spoke about Joe Paterno and his respect for him.",1
457,There are now widespread fears that opposition to the extension of Kabila's rule will spark demonstrations that will be met by violence by a government determined to maintain its hold on power.,1
912,"I talked some Russian back in those days, and they talked better English than I did Russian.",1
109,He put the responsibility on President Obama.,1
585,"The President-elect has talked about getting rid of DACA early on, perhaps on the first day in office.",1
772,"The rest of the walls throughout history, including the Great Wall of China, were built to keep people out.",1
289,"Whether they have a father with Alzheimer's or a mother with Parkinson's disease or a child with autism, these caregivers provide approximately 80 percent of the long-term care for the chronically ill.",1
91,"He then goes about building the more modern transportation systems that we need, expanding our highway program, but also the rail systems, the inner city rail, the inter-city rails, and the street cars and other kinds of mass transportation systems; very, very important.",1
737,"At issue are two solemn and deeply-rooted principles: one, the right of Indian tribes to possess as distinct independent political communities retaining their original rights in matters of local self-government; and, two, the rights of workers to organize, bargain collectively, and engage in concerted activities for their mutual aid and protection.",1
845,Simply throwing more money at this issue without these reforms is like giving the VA more money without demanding better care for our veterans.,1
608,Individuals who are granted DACA 2012 receive a two-year period in deferred action and also gain eligibility to apply for employment authorization.,1
344,The Violence Against Women Act gave women a better chance to live their lives without that terror.,1
151,It is important that ORR operate transparently given its role in re-settling thousands of illegal aliens who crossed our southern border last summer.,1
294,"And let's let this generational defining moment be defined by optimism, not by fear; by the rising aspirations of our people and not the doom and gloom of managed decline that we have become too familiar with.",1
246,"I really appreciate the gentleman's attention to this issue and will continue to work with HUD to address any outrageous, unwarranted overpayments for assistance to our most vulnerable citizens.",1
407,"When I spoke, I spoke about the minority's right for a motion to recommit, which indeed we do have, but in this particular instance, it is the minority's right to offer up the previous question, and that is what we are proceeding under.",1
1001,"It doesn't begin here, it begins at home, but it is a sincere duty, and it is one that we want to do better at every day.",1
225,"This key aspect of our bill removes the punitive barriers of the current worldwide system and allows companies to reinvest their overseas profits in America, without fear of getting hit with an excessive tax burden.",1
544,"We are not going to allow $100 billion to $150 billion to go to you while you continue to say ""death to America''; you continue to have ballistic missile tests; you continue to have joint operations, in violation of our deal with Russia and Syria; you continue in open violation of international travel bans; you continue to assault us or have cyber attacks from your country; and you continue to stir up violence against the United States.",1
1005,"This amount, which includes not only financial savings, but also lives saved and injuries prevented, is more than 25 times the net benefits through the third fiscal year of the previous administration, and these are important points that I believe my friends on the other side of the  aisle like to omit from their analysis.",1
262,"It targets the shipping and financial sectors, and also targets those in China and Russia and elsewhere, who profit from using North Korean slave labor.",1
331,Let's acknowledge the change and make a change.,1
486,It is a fundamental principle.,1
851,"Harrisburg is empowered to deal with this issue today, and the gentleman from Pennsylvania would be best served in spending time with his Governor, the State regulators, and the State legislature to address the very issues for which he is trying to do this end run in coming to Congress to spend our time here, debating.",1
830,"Obviously, it was presented as: it's potentially, possibly, maybe a future problem for American oil companies if the Mexicans change their law.",1
168,"Unfortunately, all too often, instead of helping small business, Washington serves as a roadblock to its growth by piling on excessive regulations and imposing burdensome, complex Tax Code on the job creators.",1
239,"So with that skewed and--if I might use the term--weird reasoning, we are left holding the bag and the door is open to the kinds of laws, such as voter ID laws, that spread across America like a contagious disease because we did not have the protection of section 5, which the idea of section 5 was a preclearance for men and women of goodwill to look and determine whether or not a procedure was going to block individuals from voting.",1
693,"The financial cliff was approached, and we went over it.",1
752,I am happy to say that language reported from the Energy and Commerce Committee reflects several changes sought by Democratic members of the committee.,1
189,"Reclaiming my time, Mr. Chairman, I would ask my colleague if he knows how much mining taxes give to the State of Minnesota.",1
80,The basic division here is whether we guarantee that funds will be available for the people I just described or whether we do not.,1
493,"In fact, numerous studies have underscored that using some kinds of forest biomass, particularly slow-growing trees, can actually increase atmospheric carbon for many decades.",1
857,We must acknowledge that this bloodshed will not stop.,1
23," And to answer, and I will riff a little, the cost is minimal in terms of the medical costs.",1
8,Let's not forget that in this conversation.,1
807,"`As long as the Obama administration is more concerned with keeping groups like Al-Marayati's happy with them instead of investigating actual terrorism, we will never have a sane counter-terror policy.'",1
1039,"And again, our former Ambassador yesterday said: This is  a long war, and Nigeria needs to understand, and everyone who supports  Nigeria, that it is not going to just end with one fell swoop.",1
288,"Instead of deregulating for-profit colleges, we should be working to ensure that these institutions are fulfilling their obligations to their students.",1
869,Lisa from my West Chester office indicated that she also believes it is a great initiative.,1
892,"As I indicated, the cosponsors of this legislation have struck a very sound balance between the interests of the homeowner associations and amateur radio operators.",1
832,"In the war on fear, it is crystal clear Pakistan is not on America's side.",1
336,"Mr. Chairman, it is time we close this loophole that enables outrageous payouts to groups that have made a business of suing the Federal Government.",1
259,"Thank you so much, Mr. Blumenauer, for leading this discussion about such an important topic.",2
726,"I would also like to recognize the work of our Senate partners, Lamar Alexander and Dianne Feinstein.",1
169,"Children with lead poisoning are 7 times more likely to drop out of school, more likely to engage in risk-taking behaviors, and more likely to engage in illegal activity.",1
575,"The President's budget undermines and cuts the crucial investments we have made in our cities and our neighborhoods, neighborhoods that we all come from, neighborhoods where we all recognize the importance of these communities.",1
895,"And though this conversation was not intended for public consumption, the President's comments were clearly deliberate.",1
350,Social Security is unique because it is paid for through a dedicated tax on employees who will receive future benefits.,1
725,It is for those who found the Solyndra default to be outrageous.,1
596,Some people have asked a question that I don't have a really good respond for.,4
78,"Such conditions can frequently lead, or at least contribute to, unnecessary violence.",1
264,"Mr. Chair, the issue here is, do you want to fix the possible problems with the Authorization for Use of Military Force back in 2001 when all of the cosponsors were not even here, and potentially the NDAA?",3
846,The cost of these kinds of health disparities is simply too high.,1
172,Many businesses of all kinds and sizes in our country use derivatives to manage the risks they face within their daily operations.,1
961,The reason we need this bill is to help make some of those bipartisan reforms to the infrastructure program that just don't make sense.,2
604,"Over the last 25 years, I and a small band of ""just refuse to go along and get along'' kinds here in Congress have engaged in a constant fight to maintain the intellectual property of American inventors.",1
783,"Central Texas College may be the largest community college in the United States, possibly the world; and it consistently has students of 75,000-plus every year.",1
46,All of us may never see eye to eye on what kinds of research should be supported by the Federal Government.,1
483,But this rule goes so against the principles of how we are supposed to debate the Armed Services bill--and I've been privileged to be on that committee for 16 years--that I have to speak against this rule.,1
37,It is like trying  to send an army into battle and not giving them the weapons to do it or  creating all these barriers to completion.,1
835,"Official Committee Website (a) The Chairman shall preserve an official website on behalf of the Committee for the purpose of furthering the Committee's legislative and oversight responsibilities, including communicating information about the Committee's activities to Committee Members and other Members of the House.",1
227,"Mr. Speaker, yesterday, President Obama announced that the United States, along with our P5+1 negotiating partners, had reached a deal with Iran. A deal that, if fully implemented, will prevent Iran from obtaining a nuclear weapon.",1
341,The changes that we're proposing today cut only 4 percent over the next 10 years.,1
201,"Belarus remains mired in its worst financial crisis since independence, which has put Lukashenko under increasing pressure.",1
137," Mr. Chairman, I am happy to yield 3 minutes to the gentleman from Michigan, Mr. Walberg, the chairman of the Subcommittee on Workforce Protections.",1
568,"Thus, the promotion of religious liberty is not an isolated human rights concern, but a basic component of our national security.",1
978,"Is it proper to offer an amendment at this time or at some future time on the underlying bill that would preclude Members of Congress who receive financial benefits, payments, or subsidies from the underlying legislation from voting on this bill from which they directly profit financially?",1
917,"Our guest chaplain today has been the pastor of Bible Baptist Church in Wichita Falls, Texas, for the past 20  years; but his ministry and passion for spreading the word of God has never been confined to the walls of any church building.",1
515,They don't want to recognize our Constitution. They want it supplanted and replaced with Sharia law.,1
683,"On March 27, 1919, Theodore Roosevelt sent a telegram to Mr. William Marshall Bullitt of Louisville, Kentucky, and many more respected military wartime veteran leaders across the country which indicated:  ""A conference will be held at St. Louis about May 1 for the purpose of organizing an association composed of those who have been in the land and naval forces of the United States in this  war.""",1
332,"Certainly, the whole conversation here makes it very clear that American families--American families--are being disrupted, separated day after day.",1
802,And then we asked the FCC to implement the types of reforms that we implemented in this very House to avoid abuses that had taken place in the past.,1
952,Dear Chairman Bachus: The 1 million members of the National Association of REALTORS' supports a temporary extension of National Flood Insurance Program (NFIP) authority to enable the Senate to end work on its long-term reauthorization and reform measure (S. 1940).,1
339,"Mr. Speaker, the House will consider a number of suspensions next week, a complete list of which will be indicated by close of business today.",1
798,"This is simply far too short a period of time to properly get to know the staff at the centers and the needs of the location, let alone implement new changes.",1
300,"This bill brings together government agencies, including the national labs, the energy and manufacturing industries, unions, schools, community colleges and universities, among others, and promotes cooperation and collaboration to ensure that we are tapping into a wealth of underutilized talent and are training and preparing employees for the energy and manufacturing jobs of the present and also of the future.",1
528,"Let's heed the call of the fasters, of those who pray passionately for complete immigration reform.",1
538,"Second, the resolution violates separation of powers principles by inappropriately having courts address political questions that are left to the other branches to decided.",1
556,"Why are we richer than ever before, but unable to invest in fundamental priorities?",1
871,"Mr. Speaker, the Historically Black Colleges and Universities Preservation Program exists to maintain, and stabilize historic structures on HBCU campuses through projects such as structural stabilization, masonry repair, replacement of antiquated electrical and plumbing systems, abating environmental hazards such as asbestos, ameliorating termite damage, and replacing leaking roofs.",1
780,The next morning his mother and I found him dead in his room.,1
206,"At the end of the day, if we take away this DACA status from these young Americans, we are going to have a potentially close to $500 billion adverse economic impact.",1
174,"I fear spreading misinformation and wasting resources, arresting two-thirds of a million people for something that most Americans now think should be legal, undermines what could be an effective approach.",1
696,"It is going to somewhere, to somebody in Nigeria, and the people of Nigeria need to begin to enjoy some of the prosperity with which their land has been blessed, and I hope we see that in our lifetime as well.",2
207,"People take responsibility, but there's no accountability, and no heads really roll.",1
295,LLCs and other kinds of pass-throughs make up 95 percent of all the businesses in the country.,1
503,"If a contractor fails to maintain high standards of integrity and business ethics, agencies already have the authority to suspend or debar the employer from government contracting.",1
87,He wanted to contribute me a ticket for my sign.,4
636,I don't know whether the gentleman wants to answer at all.,1
352,"Protecting the nation's border--land, air, and sea--from illegal entry of people, weapons, drugs, and contraband is vital to our homeland security, as well as economic wealth.",1
933,"Instead, under the leadership of Mr. Levin and Mr. Rangel, we had the May 10 agreement with the basic values of how we should engage other countries.",1
27,"I would like to point out something that is not getting enough attention, as the media seems to be driven over issues like charge of misdemeanor, attack on a reporter, or a Russian connection, these kind of things.",1
940,That is our responsibility in the U.S. House of Representatives.,1
185,"First, let me just say, Mr. Hoyer, our whip, talked about the 50th anniversary this year of President Johnson's War on Poverty.",1
836,"In fact, in Iowa, I think they just announced 94 in 99 counties, people there won't even have an insurance product they can try to purchase on the exchange.",1
690,"But to have this debate today and to say that you can't potentially do this because it is driven, it is a Republican agenda, because it is a war on women, if anything, this is a war for women.",1
182,"We know that liberty and freedom are not free, but it is important to be able to acknowledge these horrible and outrageous and heinous acts.",1
